2856 Flow Hash:  288202510 Flow Vqueue:  1440 Flow Cost:  480
2873 Flow Hash:  288202510 Flow Vqueue:  1920 Flow Cost:  480
2907 Flow Hash:  288202510 Flow Vqueue:  2400 Flow Cost:  480
2914 Flow Hash:  288202510 Flow Vqueue:  2880 Flow Cost:  480
2916 Flow Hash:  288202510 Flow Vqueue:  3360 Flow Cost:  480
2927 Flow Hash:  288202510 Flow Vqueue:  3840 Flow Cost:  480
2949 Flow Hash:  288202510 Flow Vqueue:  4320 Flow Cost:  480
2955 Flow Hash:  288202510 Flow Vqueue:  4800 Flow Cost:  480
2973 Flow Hash:  288202510 Flow Vqueue:  4800 Flow Cost:  480
2981 Flow Hash:  288202510 Flow Vqueue:  4800 Flow Cost:  480
2990 Flow Hash:  288202510 Flow Vqueue:  4800 Flow Cost:  480
2991 Flow Hash:  288202510 Flow Vqueue:  4800 Flow Cost:  480
3032 Flow Hash:  288202510 Flow Vqueue:  4800 Flow Cost:  480
3068 Flow Hash:  288202510 Flow Vqueue:  480 Flow Cost:  480
3076 Flow Hash:  288202510 Flow Vqueue:  960 Flow Cost:  480
3086 Flow Hash:  288202510 Flow Vqueue:  1440 Flow Cost:  480
3089 Flow Hash:  288202510 Flow Vqueue:  1920 Flow Cost:  480
3123 Flow Hash:  288202510 Flow Vqueue:  2400 Flow Cost:  480
3144 Flow Hash:  288202510 Flow Vqueue:  2880 Flow Cost:  480
3147 Flow Hash:  288202510 Flow Vqueue:  3360 Flow Cost:  480
3251 Flow Hash:  288202510 Flow Vqueue:  3840 Flow Cost:  480
3260 Flow Hash:  288202510 Flow Vqueue:  4320 Flow Cost:  480
3315 Flow Hash:  288202510 Flow Vqueue:  480 Flow Cost:  480
3333 Flow Hash:  288202510 Flow Vqueue:  960 Flow Cost:  480
3386 Flow Hash:  288202510 Flow Vqueue:  1440 Flow Cost:  480
3413 Flow Hash:  288202510 Flow Vqueue:  1920 Flow Cost:  480
3452 Flow Hash:  288202510 Flow Vqueue:  2400 Flow Cost:  480
3479 Flow Hash:  288202510 Flow Vqueue:  2880 Flow Cost:  480
3487 Flow Hash:  288202510 Flow Vqueue:  3360 Flow Cost:  480
3498 Flow Hash:  288202510 Flow Vqueue:  3840 Flow Cost:  480
3502 Flow Hash:  288202510 Flow Vqueue:  4320 Flow Cost:  480
3509 Flow Hash:  288202510 Flow Vqueue:  4800 Flow Cost:  480
3594 Flow Hash:  288202510 Flow Vqueue:  480 Flow Cost:  480
3596 Flow Hash:  288202510 Flow Vqueue:  960 Flow Cost:  480
3625 Flow Hash:  288202510 Flow Vqueue:  1440 Flow Cost:  480
3628 Flow Hash:  288202510 Flow Vqueue:  1920 Flow Cost:  480
3637 Flow Hash:  288202510 Flow Vqueue:  2400 Flow Cost:  480
3649 Flow Hash:  288202510 Flow Vqueue:  2880 Flow Cost:  480
3690 Flow Hash:  288202510 Flow Vqueue:  3360 Flow Cost:  480
3703 Flow Hash:  288202510 Flow Vqueue:  3840 Flow Cost:  480
3709 Flow Hash:  288202510 Flow Vqueue:  4320 Flow Cost:  480
3756 Flow Hash:  288202510 Flow Vqueue:  4800 Flow Cost:  480
3758 Flow Hash:  288202510 Flow Vqueue:  4800 Flow Cost:  480
3773 Flow Hash:  288202510 Flow Vqueue:  4800 Flow Cost:  480
3793 Flow Hash:  288202510 Flow Vqueue:  4800 Flow Cost:  480
3809 Flow Hash:  288202510 Flow Vqueue:  4800 Flow Cost:  480
3822 Flow Hash:  288202510 Flow Vqueue:  4800 Flow Cost:  480
3837 Flow Hash:  288202510 Flow Vqueue:  480 Flow Cost:  480
3850 Flow Hash:  288202510 Flow Vqueue:  960 Flow Cost:  480
3854 Flow Hash:  288202510 Flow Vqueue:  1440 Flow Cost:  480
3886 Flow Hash:  288202510 Flow Vqueue:  1920 Flow Cost:  480
3898 Flow Hash:  288202510 Flow Vqueue:  2400 Flow Cost:  480
3953 Flow Hash:  288202510 Flow Vqueue:  2880 Flow Cost:  480
3956 Flow Hash:  288202510 Flow Vqueue:  3360 Flow Cost:  480
3965 Flow Hash:  288202510 Flow Vqueue:  3840 Flow Cost:  480
3967 Flow Hash:  288202510 Flow Vqueue:  4320 Flow Cost:  480
3971 Flow Hash:  288202510 Flow Vqueue:  4800 Flow Cost:  480
3972 Flow Hash:  288202510 Flow Vqueue:  4800 Flow Cost:  480
3987 Flow Hash:  288202510 Flow Vqueue:  4800 Flow Cost:  480
4011 Flow Hash:  288202510 Flow Vqueue:  4800 Flow Cost:  480
4026 Flow Hash:  288202510 Flow Vqueue:  4800 Flow Cost:  480
4032 Flow Hash:  288202510 Flow Vqueue:  4800 Flow Cost:  480
4133 Flow Hash:  288202510 Flow Vqueue:  480 Flow Cost:  480
4168 Flow Hash:  288202510 Flow Vqueue:  960 Flow Cost:  480
4208 Flow Hash:  288202510 Flow Vqueue:  1440 Flow Cost:  480
4212 Flow Hash:  288202510 Flow Vqueue:  1920 Flow Cost:  480
4255 Flow Hash:  288202510 Flow Vqueue:  2400 Flow Cost:  480
4283 Flow Hash:  288202510 Flow Vqueue:  2880 Flow Cost:  480
4284 Flow Hash:  288202510 Flow Vqueue:  3360 Flow Cost:  480
4329 Flow Hash:  288202510 Flow Vqueue:  3840 Flow Cost:  480
4343 Flow Hash:  288202510 Flow Vqueue:  480 Flow Cost:  480
4345 Flow Hash:  288202510 Flow Vqueue:  960 Flow Cost:  480
4366 Flow Hash:  288202510 Flow Vqueue:  1440 Flow Cost:  480
4419 Flow Hash:  288202510 Flow Vqueue:  1920 Flow Cost:  480
4474 Flow Hash:  288202510 Flow Vqueue:  2400 Flow Cost:  480
4480 Flow Hash:  288202510 Flow Vqueue:  2880 Flow Cost:  480
4489 Flow Hash:  288202510 Flow Vqueue:  3360 Flow Cost:  480
4517 Flow Hash:  288202510 Flow Vqueue:  3840 Flow Cost:  480
4543 Flow Hash:  288202510 Flow Vqueue:  4320 Flow Cost:  480
4548 Flow Hash:  288202510 Flow Vqueue:  4800 Flow Cost:  480
4594 Flow Hash:  288202510 Flow Vqueue:  480 Flow Cost:  480
4605 Flow Hash:  288202510 Flow Vqueue:  960 Flow Cost:  480
4610 Flow Hash:  288202510 Flow Vqueue:  1440 Flow Cost:  480
4720 Flow Hash:  288202510 Flow Vqueue:  1920 Flow Cost:  480
4781 Flow Hash:  288202510 Flow Vqueue:  2400 Flow Cost:  480
4791 Flow Hash:  288202510 Flow Vqueue:  2880 Flow Cost:  480
4826 Flow Hash:  288202510 Flow Vqueue:  3360 Flow Cost:  480
4844 Flow Hash:  288202510 Flow Vqueue:  3840 Flow Cost:  480
4849 Flow Hash:  288202510 Flow Vqueue:  480 Flow Cost:  480
4851 Flow Hash:  288202510 Flow Vqueue:  960 Flow Cost:  480
4865 Flow Hash:  288202510 Flow Vqueue:  1440 Flow Cost:  480
4895 Flow Hash:  288202510 Flow Vqueue:  1920 Flow Cost:  480
4910 Flow Hash:  288202510 Flow Vqueue:  2400 Flow Cost:  480
4923 Flow Hash:  288202510 Flow Vqueue:  2880 Flow Cost:  480
4937 Flow Hash:  288202510 Flow Vqueue:  3360 Flow Cost:  480
4946 Flow Hash:  288202510 Flow Vqueue:  3840 Flow Cost:  480
4987 Flow Hash:  288202510 Flow Vqueue:  4320 Flow Cost:  480
5002 Flow Hash:  288202510 Flow Vqueue:  4800 Flow Cost:  480
5026 Flow Hash:  288202510 Flow Vqueue:  4800 Flow Cost:  480
5033 Flow Hash:  288202510 Flow Vqueue:  4800 Flow Cost:  480
5038 Flow Hash:  288202510 Flow Vqueue:  4800 Flow Cost:  480
5085 Flow Hash:  288202510 Flow Vqueue:  4800 Flow Cost:  480
5094 Flow Hash:  288202510 Flow Vqueue:  4800 Flow Cost:  480
5116 Flow Hash:  288202510 Flow Vqueue:  480 Flow Cost:  480
5127 Flow Hash:  288202510 Flow Vqueue:  960 Flow Cost:  480
5132 Flow Hash:  288202510 Flow Vqueue:  1440 Flow Cost:  480
